id,fill,rwh
210,0.57,0.29
211,0.12,0.22
212,0.85,0.00
213,0.73,0.01
224,0.57,0.20
4,0.82,0.11
1,0.32,0.00
2,0.35,0.10
3,0.39,0.01
901,0.04,0.01
5,0.04,0.00
6,0.30,0.28
7,0.49,0.07
8,0.64,0.02
9,0.42,0.26
10,0.47,0.00
11,0.78,0.04
12,0.93,0.01
13,0.17,0.13
14,0.70,0.00
15,0.07,0.01
17,0.22,0.01
18,0.12,0.14
19,0.26,0.06
20,0.42,0.08
21,0.17,0.21
22,0.14,0.14
23,0.15,0.00
24,0.28,0.01
25,0.43,0.00
26,0.19,0.00
27,0.81,0.10
28,0.20,0.00
29,0.25,0.11
30,0.20,0.00
32,0.21,0.13
33,0.10,0.00
35,0.31,0.04
36,0.31,0.03
37,0.08,0.00
41,0.79,0.11
42,0.54,0.09
906,0.72,0.01
38,0.18,0.01
39,0.46,0.10
40,0.18,0.00
43,0.32,0.12
44,0.27,0.00
45,0.28,0.00
46,0.92,0.08
47,0.59,0.03
48,0.41,0.12
49,0.14,0.20
50,0.67,0.07
51,0.51,0.02
52,0.48,0.06
53,0.76,0.11
54,1.02,0.00
55,0.30,0.00
56,0.81,0.13
57,0.84,0.02
58,0.32,0.00
59,0.18,0.00
60,0.90,0.09
61,0.08,0.05
62,0.53,0.18
63,0.18,0.14
64,0.93,0.02
65,0.53,0.14
66,0.84,0.01
67,0.14,0.37
68,0.18,0.00
69,0.19,0.00
70,0.37,0.09
71,0.41,0.03
72,0.69,0.12
73,0.66,0.02
74,0.48,0.23
75,0.76,0.04
76,0.89,0.10
77,0.81,0.03
78,0.98,0.01
79,0.62,0.22
80,0.98,0.01
81,0.15,0.26
82,0.65,0.15
83,0.20,0.01
84,1.00,0.01
86,0.56,0.26
87,0.27,0.00
88,0.57,0.00
89,0.35,0.11
90,0.31,0.29
91,0.18,0.04
154,0.62,0.11
155,0.17,0.17
907,0.77,0.01
92,0.97,0.00
902,0.63,0.08
93,0.46,0.01
94,0.51,0.19
95,0.49,0.00
96,0.49,0.14
97,0.50,0.00
98,0.13,0.07
99,0.94,0.00
108,0.37,0.07
100,0.24,0.11
101,0.55,0.02
102,0.77,0.00
103,0.28,0.18
104,0.97,0.00
105,0.28,0.09
106,0.81,0.02
107,0.77,0.00
109,0.80,0.02
110,0.04,0.12
111,0.65,0.06
903,0.64,0.00
112,0.25,0.00
113,0.27,0.00
114,0.23,0.00
115,0.21,0.11
116,0.72,0.20
117,0.98,0.00
118,0.46,0.00
120,0.47,0.01
122,0.55,0.02
123,0.25,0.29
124,0.60,0.00
125,0.89,0.00
126,0.22,0.04
127,0.76,0.12
128,0.83,0.02
130,0.68,0.02
131,0.72,0.14
132,0.73,0.01
134,0.71,0.02
135,0.59,0.24
136,0.94,0.00
138,0.98,0.01
139,0.59,0.19
140,0.56,0.27
141,0.63,0.01
142,0.85,0.00
143,0.85,0.00
144,0.79,0.00
145,1.13,0.00
146,0.72,0.00
147,0.72,0.00
148,0.89,0.13
149,0.65,0.11
150,0.29,0.17
151,0.87,0.01
152,0.82,0.21
153,0.88,0.00
156,0.10,0.35
157,0.45,0.23
158,0.50,0.07
159,0.68,0.20
160,0.65,0.04
161,0.53,0.21
162,0.73,0.01
163,0.50,0.09
164,0.04,0.50
165,0.19,0.02
166,0.39,0.01
167,2.00,0.00
168,0.48,0.24
169,2.00,0.00
170,0.44,0.12
171,0.33,0.20
172,1.36,0.00
173,0.26,0.20
177,0.29,0.25
179,0.56,0.12
181,0.56,0.09
182,0.79,0.26
183,0.80,0.00
184,0.73,0.37
185,1.00,0.02
905,0.42,0.10
186,0.68,0.09
174,0.78,0.01
175,1.25,0.00
187,0.12,0.34
188,0.73,0.28
190,0.81,0.15
191,0.23,0.00
192,0.38,0.20
193,0.82,0.00
194,0.36,0.49
195,0.82,0.00
196,0.65,0.26
197,0.16,0.14
198,0.32,0.01
199,0.29,0.32
200,0.83,0.00
201,0.03,0.42
202,1.55,0.00
203,0.33,0.28
204,0.84,0.04
205,0.30,0.19
206,0.51,0.00
207,0.48,0.20
208,0.51,0.00
209,0.45,0.00
215,0.18,0.22
216,0.39,0.14
217,0.35,0.26
218,0.38,0.00
219,0.17,0.00
220,0.02,0.15
221,0.74,0.00
222,0.14,0.22
223,0.43,0.00
225,0.37,0.13
226,0.68,0.27
227,0.73,0.04
228,0.36,0.00
