No,Pipe numbers,Rainwater drainage amount,Slope,Max drainage capacity
1,15-17,2.674,51.8,37.957
2,17-26,2.783,16.4,12.898
3,26-28,3.292,13.3,18.159
4,28-30,3.483,13.3,18.159
5,30-44,3.569,13.3,18.159
6,44-45,4.914,10.0,18.862
7,45-54,5.010,10.0,18.862
8,54-55,5.925,4.7,6.071
9,55-58,5.908,9.3,20.674
10,58-59,6.209,9.3,20.674
11,59-69,6.191,14.8,36.396
12,69-88,6.505,14.8,36.396
13,88-92,8.155,11.0,15.104
14,92-99,8.678,9.2,9.384
15,99-167,8.993,8.6,10.043
16,167-169,13.596,-3.1,
17,169-172,13.682,-5.0,
18,172-175,13.655,5.0,10.576
19,175-193,14.230,5.0,11.951
20,193-195,14.391,4.9,18.470
21,195-200,14.310,4.9,18.470
22,200-202,14.470,4.9,18.470
23,202-206,14.365,6.3,9.798
24,206-208,14.356,5.0,29.563
25,208-209,14.430,5.1,29.857
26,209-218,14.422,13.8,33.802
27,218-221,14.494,19.8,40.489
28,221-223,14.429,5.1,20.549
29,223-228,14.428,14.9,35.124
30,228-,14.549,21.5,42.191
31,84-87,1.694,10.0,1.809
32,87-88,1.764,47.0,6.946
33,112-113,1.469,48.7,5.987
34,113-118,1.556,49.7,6.048
35,118-120,1.824,13.2,4.140
36,120-122,1.870,13.2,4.140
37,122-124,1.951,9.7,3.735
38,124-125,2.008,21.6,3.524
39,125-144,2.010,15.4,2.369
40,144-145,3.343,15.2,4.442
41,145-146,3.470,8.1,3.211
42,146-147,3.505,16.4,5.106
43,147-151,3.508,15.9,5.115
44,151-153,4.227,15.9,5.115
45,153-167,4.288,15.9,5.115
