Information of house stactics in level 2 drainage
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Area ID    House number House roof area
1          4            258.92         
2          4            192.62         
3          11           687.12         
4          10           1246.42        
5          0            0.00           
6          9            817.52         
7          5            341.99         
8          2            148.04         
9          7            546.27         
10         0            0.00           
12         12           806.67         
13         4            205.86         
14         2            183.78         
15         12           945.56         
901        11           431.06         
11         28           2115.01        
17         17           1526.13        
18         1            68.62          
19         12           880.62         
20         15           1028.56        
21         6            544.76         
22         4            276.71         
23         0            0.00           
24         1            90.23          
25         0            0.00           
26         8            522.87         
27         19           1132.44        
28         11           661.02         
29         6            546.92         
30         6            462.79         
32         3            188.69         
33         0            0.00           
35         19           1405.28        
36         14           1460.18        
37         6            407.58         
38         7            575.04         
39         7            400.81         
40         3            248.21         
41         26           1839.05        
42         8            802.37         
43         11           677.11         
44         3            341.39         
45         16           1595.39        
46         12           815.55         
47         7            504.58         
49         7            599.05         
48         12           941.83         
50         8            625.60         
51         7            536.07         
52         45           3194.67        
53         8            831.51         
54         8            534.02         
55         2            247.86         
56         23           2351.11        
57         3            436.77         
58         10           754.90         
59         7            462.20         
60         11           631.77         
62         12           773.16         
63         6            297.68         
64         3            163.95         
65         11           744.05         
66         1            82.23          
67         7            655.08         
68         0            0.00           
61         6            431.95         
69         4            336.35         
70         10           1080.88        
71         3            428.08         
72         13           1756.73        
73         8            646.33         
74         16           1173.47        
75         17           1615.82        
76         21           2520.67        
77         7            768.34         
78         11           775.94         
79         10           908.90         
80         7            550.61         
81         17           1449.05        
82         21           2157.76        
83         4            318.57         
84         14           1258.30        
86         11           1130.53        
87         3            305.85         
88         6            521.85         
89         12           622.35         
90         9            633.84         
91         2            301.75         
92         12           957.49         
907        4            303.34         
155        4            284.16         
154        25           2795.10        
902        12           1123.70        
93         1            144.44         
94         7            567.25         
95         1            26.42          
96         5            576.53         
97         1            81.42          
98         1            74.99          
99         19           1355.11        
100        23           1947.32        
101        4            199.57         
103        16           875.43         
102        0            0.00           
104        1            87.89          
105        11           772.31         
106        15           1070.08        
107        2            74.45          
108        10           768.54         
109        3            195.31         
110        1            43.73          
111        16           875.66         
112        0            0.00           
903        0            0.00           
113        3            265.53         
114        0            0.00           
115        11           825.07         
116        24           2016.46        
117        2            77.16          
118        0            0.00           
120        18           1013.72        
122        26           2033.33        
123        18           1158.27        
124        0            0.00           
125        3            143.66         
126        1            177.68         
127        17           2287.69        
128        6            449.81         
130        9            562.81         
131        28           1479.33        
132        3            208.56         
134        15           867.82         
135        57           4226.87        
136        1            60.32          
138        13           682.11         
139        16           1828.43        
140        8            620.50         
141        1            92.48          
142        6            428.40         
143        3            142.67         
144        0            0.00           
145        14           712.59         
146        14           689.78         
147        2            186.75         
148        33           2532.55        
149        16           4215.61        
150        7            887.32         
151        29           2387.55        
152        10           1040.45        
153        2            71.38          
156        4            175.22         
157        9            875.16         
158        6            470.97         
159        12           1267.33        
160        6            598.78         
161        11           966.64         
162        3            148.78         
163        3            245.02         
164        1            570.38         
165        5            145.04         
166        2            200.04         
167        1            41.58          
168        22           1526.21        
169        0            0.00           
170        10           517.03         
171        17           965.40         
172        19           1190.13        
173        8            568.78         
174        5            323.49         
175        23           2232.07        
177        15           1289.57        
179        14           1251.51        
181        17           1596.25        
182        26           1910.73        
183        0            0.00           
184        18           1487.06        
185        7            671.06         
186        19           1470.37        
187        19           1905.09        
188        5            728.92         
190        12           1263.12        
191        0            0.00           
192        7            673.13         
193        6            545.56         
194        16           1404.01        
195        18           2449.56        
196        60           4447.15        
197        2            163.60         
198        2            107.86         
199        16           784.45         
200        6            452.85         
201        6            316.80         
202        40           2780.22        
203        25           1295.30        
204        3            241.52         
205        7            460.50         
206        11           437.31         
207        26           1601.92        
208        0            0.00           
209        4            775.45         
905        10           743.33         
215        2            244.10         
216        5            384.66         
218        2            218.71         
219        0            0.00           
217        8            961.45         
220        2            56.82          
221        12           955.42         
223        0            0.00           
222        5            244.60         
224        6            737.79         
225        7            412.13         
226        14           1411.52        
227        5            329.44         
228        2            207.51         
211        2            166.46         
210        25           1566.23        
212        0            0.00           
213        1            70.97          
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
